genome_id,genus_original,species_original,strain,domain,phylum,class,order,family,genus,species,organism
GCF_002564065.1,Saccharopolyspora,erythraea,DSM 40517,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora_D,erythraea,s__Saccharopolyspora_D erythraea
GCF_022828475.1,Saccharopolyspora,gloriosae,MLY014,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora_C,,s__
GCF_014203325.1,Saccharopolyspora,gloriosae,DSM 45582,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora_C,gloriosae,s__Saccharopolyspora_C gloriosae
GCF_024734405.1,Saccharopolyspora,gregorii,BM8-3,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora_C,,s__
GCF_016526145.1,Saccharopolyspora,sp.,HNM0986,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora_C,sp016526145,s__Saccharopolyspora_C sp016526145
GCF_002846475.1,Saccharopolyspora,spinosa,DSM 44228,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora,spinosa,s__Saccharopolyspora spinosa
GCF_000194155.1,Saccharopolyspora,spinosa,NRRL 18395,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora,spinosa,s__Saccharopolyspora spinosa
GCF_014490055.1,Saccharopolyspora,spinosa,CCTCC M206084,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora,spinosa,s__Saccharopolyspora spinosa
GCF_014697215.1,Saccharopolyspora,pogona,NRRL30141,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora,pogona,s__Saccharopolyspora pogona
GCF_012277335.1,Saccharopolyspora,sp.,ASAGF58,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora,pogona,s__Saccharopolyspora pogona
