pkey,profile,genome_id,name,product,start,stop,strand,scaffold,sequence_id,type,transl_table,core_table_fkey,Dup,HGT,Res,bgc_id,gene,description,function,bgctable_fkey,BGC,duptable_fkey,evalue,bitscore,gid,seqtitle,hits
GCF_003635025.1__Cpn10__2__2759,Cpn10,GCF_003635025.1,groS_1,10 kDa chaperonin,2802541,2802862,1.0,scaffold_2,2759,CDS,11.0,GCF_003635025.1__arts_core__Cpn10,✔,✔,✖,,,,,,✖,GCF_003635025.1__arts_dup__Cpn10,,,,,2
GCF_003635025.1__Cpn10__2__3457,Cpn10,GCF_003635025.1,groS_2,10 kDa chaperonin,3528878,3529169,1.0,scaffold_2,3457,CDS,11.0,GCF_003635025.1__arts_core__Cpn10,✔,✔,✖,,,,,,✖,GCF_003635025.1__arts_dup__Cpn10,,,,,2
GCF_003635025.1__GrpE__2__1244,GrpE,GCF_003635025.1,grpE_1,Protein GrpE,1174179,1174929,-1.0,scaffold_2,1244,CDS,11.0,GCF_003635025.1__arts_core__GrpE,✔,✔,✖,NZ_RBXX01000002.1.region003,GrpE,PF01025.15: GrpE,Unclassified,NZ_RBXX01000002.1.region003__arts_bgc,✔,GCF_003635025.1__arts_dup__GrpE,,,,,3
GCF_003635025.1__GrpE__2__2820,GrpE,45119,grpE_2,Protein GrpE,2872123,2872564,1.0,scaffold_2,2820,CDS,11.0,GCF_003635025.1__arts_core__GrpE,✔,✔,✖,,,,Unclassified,,✖,GCF_003635025.1__arts_dup__GrpE,,,,,2
GCF_003635025.1__GrpE__2__2918,GrpE,45119,grpE_3,Protein GrpE,2971594,2972263,1.0,scaffold_2,2918,CDS,11.0,GCF_003635025.1__arts_core__GrpE,✔,✔,✖,,,,Unclassified,,✖,GCF_003635025.1__arts_dup__GrpE,,,,,2
GCF_003635025.1__Methyltransf_5__2__4369,Methyltransf_5,GCF_003635025.1,rsmH,Ribosomal RNA small subunit methyltransferase H,4476360,4477347,1.0,scaffold_2,4369,CDS,11.0,GCF_003635025.1__arts_core__Methyltransf_5,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__PF00044.19__2__4990,PF00044.19,GCF_003635025.1,,,5170150,5171161,1.0,2,4990,,,,✖,✖,✔,,,Gp_dh_N,,,✖,,3.4e-57,191.7,cog,cog0057,1
GCF_003635025.1__PF00185.19__2__132,PF00185.19,GCF_003635025.1,,,9728,10655,-1.0,2,132,,,,✖,✖,✔,,,OTCace,ResModel,,✖,,3.9e-48,162.3,cog,cog0078,1
GCF_003635025.1__PF00185.19__2__4918,PF00185.19,GCF_003635025.1,,,5095001,5095934,1.0,2,4918,,,,✖,✖,✔,,,OTCace,ResModel,,✖,,4.2e-39,133.0,cog,cog0540,1
GCF_003635025.1__PF00204.20__2__2659,PF00204.20,GCF_003635025.1,,,2697841,2699815,-1.0,2,2659,,,,✖,✖,✔,,,DNA_gyraseB,ResModel,,✖,,3.7e-61,204.4,cog,cog0187,1
GCF_003635025.1__PF00227.21__2__5098,PF00227.21,GCF_003635025.1,,,5296867,5297713,1.0,2,5098,,,,✖,✖,✔,,,Proteasome,,,✖,,8.8e-33,112.2,lcl,5098,1
GCF_003635025.1__PF00227.21__2__5099,PF00227.21,GCF_003635025.1,,,5297764,5298508,1.0,2,5099,,,,✖,✖,✔,,,Proteasome,,,✖,,1.2e-29,102.0,cog,cog0638,1
GCF_003635025.1__PF00364.17__2__2731,PF00364.17,GCF_003635025.1,,,2778828,2780112,1.0,2,2731,,,,✖,✖,✔,,,Biotin_lipoyl,ResModel,,✖,,3.8e-20,70.3,cog,cog0508,1
GCF_003635025.1__PF00364.17__2__3131,PF00364.17,GCF_003635025.1,,,3203066,3205163,1.0,2,3131,,,,✖,✖,✔,,,Biotin_lipoyl,ResModel,,✖,,2.3e-18,64.6,cog,cog4770,1
GCF_003635025.1__PF00364.17__2__4133,PF00364.17,GCF_003635025.1,,,4225135,4228513,1.0,2,4133,,,,✖,✖,✔,,,Biotin_lipoyl,ResModel,,✖,,0.0,52.3,lcl,4133,1
